GEOID	BORO	TUID	DIST_ROADBED	DIST_BLDG_HGHT	TYPE
360470069003000	Brooklyn	20130701002181	0	5.425648	d
360470069004000	Brooklyn	20130701007773	102.9702506	5.110419	d
360470069004001	Brooklyn	20130701000069	6.2380504	4.806664	d
360470071002000	Brooklyn	20130701020622	12.50691872	4.041985	d
360470071004000	Brooklyn	20130701023698	0	3.982427	d
360470072001000	Brooklyn	20130701024130	13.03985839	3.607317	d
360470075001002	Brooklyn	20130701029449	0	3.6352	d
360470075001003	Brooklyn	20130701005755	0	3.983691	d
360470075005001	Brooklyn	20130701014618	0	5.117115	d
360470075005002	Brooklyn	20130701009424	0	0.078881	d
360470077002001	Brooklyn	20130701009563	13.25818584	4.334152	d
360470077002001	Brooklyn	20130701027480	0	4.334152	d
360470077002002	Brooklyn	20130701001389	0	4.044402	d
360470077003002	Brooklyn	20130701010382	0	3.223465	d
360470077003006	Brooklyn	20130701013418	0	10.480261	d
360470077003006	Brooklyn	20130701025396	0.6242058487	10.480261	d
360470077003006	Brooklyn	20130701026705	6.869493051	10.480261	d
360470077004001	Brooklyn	20130701014065	0	5.678443	d
360470078002001	Brooklyn	20130701013048	77.82473454	4.398945	d
360470078003001	Brooklyn	20130701007402	0.9486983675	4.635657	d
360470078003001	Brooklyn	20130701007919	24.68729464	4.635657	d
360470078004001	Brooklyn	20130701026776	0	4.038593	d
360470078004001	Brooklyn	20130701027059	0	4.038593	d
360470080001001	Brooklyn	20130701022858	0	4.417617	d
360470084001000	Brooklyn	20130701010265	34.0719132	3.210483	d
360470084002002	Brooklyn	20130701014009	0	3.862497	d
360470084002003	Brooklyn	20130701001464	0	2.74838	d
360470084002003	Brooklyn	20130701026726	29.23164924	2.74838	d
